Campaign,Channel,Spend,Revenue,Clicks,Conversions
Mega Discount,Google,10623,28001,8672.0,166
Festive Blast,LinkedIn,8007,21435,2489.0,574
Festive Blast,Facebook,19738,43429,675.0,280
Festive Blast,Google,2116,5411,2201.0,446
New Launch,LinkedIn,14666,30478,3269.0,750
New Launch,Instagram,19952,37178,5718.0,462
New Launch,Google,7229,16492,4906.0,83
Festive Blast,Facebook,17642,41205,9302.0,733
Festive Blast,Instagram,7233,24364,7369.0,99
New Launch,LinkedIn,6974,31273,4694.0,579
Mega Discount,Facebook,7326,20949,3110.0,473
Mega Discount,Instagram,16110,30783,3024.0,503
New Launch,Google,19358,24133,3690.0,514
Summer Sale,Instagram,8708,15588,8725.0,366
New Launch,Instagram,10240,19553,6073.0,489
Winter Offer,LinkedIn,13334,18945,1791.0,455
Mega Discount,Facebook,11642,25357,2218.0,735
Festive Blast,Google,7314,26288,7530.0,382
New Launch,Google,11607,24039,6848.0,587
Festive Blast,LinkedIn,5934,18374,3686.0,476
Winter Offer,Google,5426,25165,4289.0,222
New Launch,LinkedIn,8371,15530,5303.0,80
Mega Discount,Google,18375,36074,7001.0,660
Mega Discount,LinkedIn,13431,17616,8187.0,578
Mega Discount,Google,7200,22132,9434.0,564
Summer Sale,LinkedIn,13910,24123,8459.0,791
Winter Offer,Instagram,9349,15950,6536.0,719
New Launch,Facebook,14795,25950,7720.0,627
Winter Offer,Facebook,14875,33049,4224.0,150
New Launch,Google,5080,29868,4652.0,319
New Launch,Google,15958,21572,3268.0,137
Festive Blast,LinkedIn,5049,24277,7424.0,565
New Launch,Facebook,3610,22422,938.0,182
Festive Blast,Google,3418,12587,5756.0,326
Mega Discount,Google,2680,14316,1284.0,235
New Launch,LinkedIn,11413,34859,6365.0,434
Festive Blast,Google,8722,28175,1239.0,238
Festive Blast,LinkedIn,7560,11538,5295.0,108
Mega Discount,Instagram,16703,32955,6028.0,277
New Launch,Google,18270,34037,8027.0,506
Mega Discount,Google,9989,24678,4911.0,251
Winter Offer,Instagram,18795,25627,5003.0,345
Summer Sale,LinkedIn,15134,28539,771.0,380
New Launch,Instagram,11769,35238,2130.0,686
Summer Sale,LinkedIn,3069,14783,6305.0,750
Festive Blast,Facebook,3257,24860,2980.0,153
New Launch,Google,8704,25919,3523.0,332
Winter Offer,Google,8695,26308,9517.0,296
Winter Offer,Facebook,16919,26991,1756.0,508
Mega Discount,Google,14660,31282,3775.0,764
Festive Blast,Instagram,2439,27366,4923.0,798
Festive Blast,LinkedIn,12017,24786,8091.0,660
New Launch,Instagram,11237,20653,9481.0,388
New Launch,LinkedIn,14397,21774,7402.0,784
Mega Discount,LinkedIn,18036,38350,956.0,360
Winter Offer,LinkedIn,14314,23682,7344.0,517
Winter Offer,Instagram,9321,20370,4253.0,187
New Launch,Facebook,8303,21746,8301.0,147
Festive Blast,Instagram,3044,23311,7568.0,478
Festive Blast,Facebook,17740,36618,6887.0,759
Festive Blast,Facebook,4882,22203,5210.0,527
Festive Blast,LinkedIn,5025,26242,5528.0,725
Festive Blast,Google,17378,40849,3291.0,128
Summer Sale,Instagram,10378,22887,3867.0,220
New Launch,Google,6116,31052,,793
Summer Sale,LinkedIn,13301,19853,9264.0,126
New Launch,Instagram,10927,14999,9931.0,238
New Launch,LinkedIn,2797,27360,2594.0,633
Summer Sale,LinkedIn,8882,27949,4684.0,797
Summer Sale,LinkedIn,17044,31130,1612.0,85
New Launch,Facebook,18991,38553,513.0,466
Summer Sale,LinkedIn,10186,27267,7115.0,775
New Launch,LinkedIn,10334,15044,7940.0,179
Mega Discount,Google,7373,13614,2596.0,477
Winter Offer,Instagram,13643,26634,683.0,584
Winter Offer,LinkedIn,6546,13818,3635.0,244
Festive Blast,Instagram,13155,25886,9994.0,553
Mega Discount,Google,3609,15301,2871.0,491
Festive Blast,Google,3460,14212,2877.0,540
Winter Offer,LinkedIn,14214,18861,2812.0,138
Mega Discount,Google,4757,14099,9244.0,211
Mega Discount,Instagram,16371,28770,5405.0,398
Summer Sale,Facebook,11431,15376,6912.0,253
Mega Discount,Google,2944,13068,7412.0,666
Mega Discount,Google,2249,6960,3602.0,179
Mega Discount,Instagram,2158,26837,7320.0,531
New Launch,Instagram,10082,29455,2865.0,57
Summer Sale,Facebook,10326,22356,5389.0,481
Summer Sale,Facebook,17368,32794,3979.0,798
Festive Blast,Instagram,11791,23441,9760.0,440
New Launch,LinkedIn,8673,31381,8544.0,466
Summer Sale,Instagram,4194,7281,4286.0,416
Winter Offer,Instagram,17935,31080,6921.0,483
Mega Discount,LinkedIn,14231,23753,9171.0,641
Winter Offer,Google,16247,28398,6327.0,717
Summer Sale,Instagram,9688,17366,8165.0,169
Mega Discount,Google,4003,11176,5858.0,265
Mega Discount,Instagram,7007,22977,3551.0,675
Winter Offer,Facebook,8574,12971,4138.0,542
New Launch,LinkedIn,8958,29363,8965.0,200
Mega Discount,Google,6588,18804,8304.0,587
Winter Offer,LinkedIn,7150,28198,2006.0,415
New Launch,LinkedIn,10767,20936,546.0,512
Summer Sale,Instagram,8728,27535,2772.0,127
Mega Discount,Facebook,16440,34136,1439.0,58
Mega Discount,LinkedIn,11234,18057,5006.0,616
New Launch,LinkedIn,12681,29285,8315.0,377
Mega Discount,Facebook,9757,31065,558.0,563
New Launch,Facebook,4886,12738,847.0,178
Winter Offer,LinkedIn,3684,15344,5509.0,557
Mega Discount,Instagram,2238,10915,3436.0,461
Mega Discount,Instagram,11971,18853,6205.0,612
Festive Blast,Instagram,10641,28964,2927.0,348
Winter Offer,LinkedIn,15093,24971,5156.0,424
Winter Offer,Facebook,18464,27510,3156.0,797
Summer Sale,Facebook,11331,21300,6745.0,401
Mega Discount,LinkedIn,10149,29843,6934.0,652
Festive Blast,Instagram,9793,30782,8178.0,525
Mega Discount,LinkedIn,5702,20292,1624.0,199
New Launch,Instagram,17046,34364,6008.0,133
Mega Discount,LinkedIn,18494,37969,9958.0,166
Festive Blast,Instagram,13019,23778,4242.0,441
Summer Sale,Facebook,12353,29883,8134.0,539
Mega Discount,LinkedIn,10857,15602,5630.0,677
Winter Offer,Google,16457,26943,1623.0,469
Summer Sale,Google,11546,25056,1897.0,446
Mega Discount,Facebook,11457,34207,2439.0,470
Winter Offer,Facebook,2094,13866,5895.0,691
Summer Sale,Google,2937,6608,9626.0,725
Festive Blast,Facebook,14456,33094,1781.0,440
Winter Offer,Instagram,7856,15853,9547.0,279
Mega Discount,Facebook,2993,27649,7960.0,487
Mega Discount,Google,18184,24920,6066.0,256
Festive Blast,Instagram,9609,27607,4681.0,551
Mega Discount,LinkedIn,11450,26885,9576.0,608
Mega Discount,LinkedIn,15104,28136,3786.0,285
New Launch,Instagram,2693,22735,4335.0,483
New Launch,LinkedIn,4835,15922,3397.0,490
Summer Sale,Google,5836,24326,9161.0,166
Mega Discount,Google,13403,23476,611.0,781
New Launch,Google,13524,22281,8522.0,733
Mega Discount,Google,392860,26197,8549.0,269
Mega Discount,Instagram,6818,16176,8465.0,223
Festive Blast,Instagram,2482,7309,6162.0,397
Winter Offer,Instagram,5265,19349,2824.0,604
Summer Sale,LinkedIn,16928,35120,8438.0,335
Festive Blast,Instagram,9548,26129,2453.0,460
Festive Blast,Instagram,10611,29936,2791.0,628
Mega Discount,Facebook,13417,33949,5479.0,642
Mega Discount,Google,19611,41853,3304.0,563
New Launch,Google,3151,22362,3375.0,761
Festive Blast,Facebook,10534,28596,8094.0,136
Summer Sale,Instagram,11294,15944,8408.0,329
Summer Sale,Instagram,3654,15721,6568.0,180
Mega Discount,Instagram,8603,18240,9400.0,656
Summer Sale,LinkedIn,13572,30867,3359.0,536
Summer Sale,Google,6163,19077,8295.0,288
Festive Blast,Google,3098,13543,2521.0,279
Mega Discount,Instagram,16599,27653,3628.0,665
Summer Sale,Google,16081,36128,7853.0,422
Summer Sale,Facebook,8571,32350,6619.0,417
Mega Discount,Instagram,3538,20482,1026.0,420
Summer Sale,Google,15184,24928,2837.0,299
Winter Offer,Instagram,9706,25884,4732.0,719
Mega Discount,LinkedIn,11387,15378,7080.0,333
Festive Blast,Facebook,17297,37674,6984.0,673
Mega Discount,Instagram,18189,32142,9419.0,797
Mega Discount,Instagram,6851,30915,7192.0,400
Winter Offer,Facebook,12418,22380,7666.0,461
Summer Sale,LinkedIn,8427,12618,8243.0,392
Winter Offer,Instagram,15190,28048,5494.0,50
Festive Blast,Google,2499,12345,7103.0,142
Winter Offer,Facebook,10084,21950,5794.0,684
Winter Offer,Instagram,16171,34897,3922.0,375
Mega Discount,Facebook,18874,24418,1462.0,534
New Launch,LinkedIn,9336,28084,8194.0,543
Summer Sale,Facebook,6812,23631,3669.0,251
New Launch,Instagram,3181,11862,9787.0,204
Mega Discount,Google,5932,24159,1320.0,434
New Launch,Google,8822,32395,3866.0,113
Summer Sale,Instagram,2471,22979,9803.0,735
Mega Discount,LinkedIn,3152,9957,5640.0,366
Festive Blast,LinkedIn,17187,27851,7161.0,214
Summer Sale,Instagram,17162,35627,3738.0,389
Winter Offer,Instagram,6824,12809,9355.0,435
Festive Blast,Google,19988,41605,3083.0,145
Mega Discount,Facebook,6874,25647,4714.0,328
Summer Sale,Google,16631,22143,1691.0,572
Winter Offer,LinkedIn,3935,24819,811.0,797
Mega Discount,LinkedIn,12276,22612,5502.0,140
Summer Sale,Google,8619,16528,8968.0,321
Mega Discount,Instagram,19774,32686,9955.0,780
New Launch,LinkedIn,11322,14419,4036.0,765
New Launch,LinkedIn,17288,27054,8731.0,588
Mega Discount,Instagram,8511,13525,2235.0,664
New Launch,Facebook,12590,37006,5037.0,79
Summer Sale,Instagram,6199,10310,8463.0,647
Summer Sale,Google,12568,22510,3142.0,332
Mega Discount,Google,19703,27566,6672.0,645
Festive Blast,Facebook,12147,29682,2265.0,737
New Launch,Facebook,8259,25547,1011.0,750
Mega Discount,Facebook,11147,18630,3163.0,581
Mega Discount,Instagram,14623,26515,6586.0,546
New Launch,Google,17558,22213,7494.0,713
Winter Offer,Instagram,3612,6804,6033.0,766
Mega Discount,Facebook,5661,22855,5195.0,799
New Launch,Google,12046,20917,5914.0,758
Mega Discount,Facebook,17350,28884,3606.0,181
Festive Blast,Instagram,5311,18674,4204.0,154
Festive Blast,LinkedIn,19891,41901,8105.0,667
Festive Blast,Instagram,6841,16495,6756.0,465
Winter Offer,Instagram,7491,29293,7459.0,505
Summer Sale,LinkedIn,13627,19334,8868.0,162
Winter Offer,Facebook,11920,31590,5725.0,713
Mega Discount,Google,4714,8542,5047.0,559
Mega Discount,Instagram,13397,37898,,84
Winter Offer,Instagram,8746,20625,2068.0,736
Summer Sale,Facebook,2376,15886,1662.0,64
New Launch,Instagram,14986,18891,1770.0,429
Summer Sale,Google,17768,26986,9059.0,372
Winter Offer,Google,18850,29437,6950.0,657
Winter Offer,Instagram,15390,35670,3388.0,166
Festive Blast,Instagram,17706,27044,5784.0,634
Summer Sale,Google,4081,26307,2644.0,539
Mega Discount,LinkedIn,17486,23511,9225.0,209
Summer Sale,Instagram,19305,23703,7356.0,750
Winter Offer,Google,11010,32170,8673.0,381
Summer Sale,Facebook,19359,30199,2633.0,650
Winter Offer,Facebook,2573,6308,9434.0,156
Mega Discount,Instagram,3934,19330,3115.0,751
Summer Sale,Facebook,17652,35926,855.0,786
New Launch,Instagram,4355,13135,7583.0,727
Festive Blast,Instagram,17605,34735,1747.0,520
Winter Offer,Google,2659,11038,7528.0,549
Winter Offer,Instagram,4369,17033,1493.0,233
Festive Blast,Instagram,16829,38183,9016.0,489
New Launch,Facebook,11556,18088,4310.0,284
Winter Offer,LinkedIn,12145,30283,8820.0,776
Winter Offer,LinkedIn,19391,24570,8836.0,350
Summer Sale,Facebook,10428,22313,3184.0,395
Mega Discount,Facebook,10108,34333,4763.0,258
Summer Sale,Facebook,18604,37918,5368.0,618
Mega Discount,Facebook,4449,10086,2222.0,411
Winter Offer,Facebook,3027,15881,5241.0,561
New Launch,Google,19626,41468,7873.0,100
Summer Sale,Instagram,5591,26388,,262
New Launch,LinkedIn,15277,22803,7792.0,744
New Launch,Facebook,5532,14833,8438.0,664
Winter Offer,LinkedIn,19658,36837,6811.0,514
New Launch,LinkedIn,10760,34237,7932.0,249
Winter Offer,LinkedIn,12599,32471,5254.0,704
Summer Sale,Facebook,15217,38217,9663.0,159
Festive Blast,LinkedIn,9903,34059,9056.0,102
Summer Sale,Facebook,6257,14034,7664.0,287
Festive Blast,Instagram,11645,19873,680.0,438
Mega Discount,Google,9922,25895,931.0,148
Mega Discount,Instagram,10268,22496,6314.0,627
Festive Blast,Facebook,13180,30033,6865.0,396
Summer Sale,LinkedIn,17699,32543,3424.0,392
Festive Blast,Facebook,10204,17338,8810.0,473
Winter Offer,LinkedIn,4934,19166,7035.0,742
New Launch,LinkedIn,2065,19660,8636.0,673
Festive Blast,LinkedIn,4913,22785,,182
New Launch,Facebook,14664,34436,1871.0,535
New Launch,Google,18498,33586,4509.0,519
Festive Blast,LinkedIn,13319,22695,9320.0,239
New Launch,LinkedIn,12244,29010,7805.0,140
New Launch,Facebook,16548,26102,9658.0,698
Festive Blast,Instagram,18003,22430,9637.0,781
New Launch,Instagram,18675,41513,5247.0,583
Winter Offer,LinkedIn,6110,22415,2073.0,327
Winter Offer,Instagram,14502,29999,6624.0,88
New Launch,Instagram,9743,14378,5891.0,681
Festive Blast,Facebook,4120,11173,9055.0,307
Mega Discount,Facebook,9947,18450,2400.0,333
Festive Blast,Facebook,7133,11843,2234.0,449
Mega Discount,LinkedIn,19578,42240,1951.0,631
Mega Discount,Google,4797,19423,9105.0,243
Summer Sale,LinkedIn,6217,20735,1318.0,328
Winter Offer,Instagram,16489,39764,4439.0,100
Winter Offer,Facebook,16587,25650,5522.0,691
Mega Discount,Instagram,4428,26066,927.0,662
Summer Sale,LinkedIn,14844,19681,6118.0,514
Mega Discount,LinkedIn,9716,15093,1939.0,750
Festive Blast,Google,4512,9179,5875.0,273
Mega Discount,LinkedIn,4901,29742,8960.0,486
Mega Discount,LinkedIn,14254,36821,2284.0,77
Festive Blast,Facebook,17692,21459,9941.0,537
Mega Discount,Instagram,11315,31572,4660.0,727
New Launch,Facebook,15703,27295,533.0,615
Winter Offer,LinkedIn,12736,16926,3292.0,143
Mega Discount,Facebook,5538,11095,,530
Summer Sale,Instagram,2330,23840,7168.0,363
Mega Discount,LinkedIn,9810,14077,4265.0,355
Mega Discount,Google,10104,19491,6116.0,479
Summer Sale,Facebook,4549,9033,5471.0,716
Mega Discount,LinkedIn,3353,11375,,593
New Launch,Facebook,16221,33648,4396.0,508
Winter Offer,Google,14700,35459,7330.0,779
Summer Sale,Instagram,9521,25960,2120.0,627
Summer Sale,LinkedIn,13793,28394,4334.0,123
Festive Blast,Google,13535,25346,5237.0,779
Mega Discount,LinkedIn,7451,13676,2628.0,772
Festive Blast,Google,14169,38612,6689.0,751
Summer Sale,LinkedIn,19001,23664,4033.0,536
Winter Offer,Facebook,2730,16705,7170.0,716
Mega Discount,Google,9322,24179,4404.0,786
Winter Offer,Google,278083,26412,5518.0,453
Winter Offer,Facebook,7842,23485,4506.0,627
Festive Blast,Instagram,5841,26548,7332.0,760
Winter Offer,Instagram,3875,10798,5535.0,222
Summer Sale,Instagram,10622,23737,7090.0,251
New Launch,Google,14488,33670,8362.0,790
Winter Offer,Facebook,13830,24628,4633.0,748
Summer Sale,Facebook,5903,19689,4095.0,315
Festive Blast,Facebook,19322,37305,1000.0,91
Mega Discount,Facebook,19838,37825,8601.0,714
Winter Offer,LinkedIn,19544,37982,7906.0,124
Summer Sale,Facebook,18880,25903,4580.0,120
New Launch,Facebook,12559,37062,5705.0,110
Summer Sale,Facebook,19516,29888,3921.0,546
New Launch,Instagram,19181,23591,2546.0,461
New Launch,Facebook,12533,36504,920.0,332
Festive Blast,LinkedIn,14214,32470,3558.0,528
Winter Offer,Google,13465,36311,7002.0,288
Winter Offer,Instagram,14693,37708,7159.0,348
Winter Offer,Google,3107,10188,4619.0,491
Festive Blast,LinkedIn,18821,26570,3567.0,79
Mega Discount,LinkedIn,10502,28396,3011.0,533
Summer Sale,LinkedIn,11408,20158,4888.0,136
Summer Sale,Instagram,12706,19842,9124.0,102
New Launch,Instagram,3356,15288,6439.0,669
Festive Blast,Facebook,2132,15581,3379.0,50
Summer Sale,LinkedIn,4442,22396,2781.0,591
New Launch,Google,13389,31659,4014.0,624
New Launch,Instagram,12918,33451,2347.0,362
Summer Sale,Google,3137,26588,2021.0,485
Festive Blast,LinkedIn,9231,12746,4649.0,377
New Launch,LinkedIn,12632,21968,9146.0,732
Winter Offer,LinkedIn,15626,36747,4498.0,435
Winter Offer,LinkedIn,14820,21476,9446.0,109
Summer Sale,Facebook,19010,26601,7263.0,284
Winter Offer,Facebook,12133,21960,7669.0,144
Mega Discount,Google,8667,29328,6362.0,332
Festive Blast,Instagram,6470,27582,5570.0,789
New Launch,Instagram,5502,28655,9798.0,54
New Launch,Instagram,17527,30054,7470.0,322
Summer Sale,Google,4317,9490,4842.0,263
Festive Blast,Facebook,18902,26126,1059.0,551
New Launch,LinkedIn,16835,30526,6818.0,408
Mega Discount,Instagram,16410,33320,5503.0,205
Winter Offer,Instagram,3799,16803,3300.0,207
Mega Discount,Google,18572,31328,7975.0,437
Winter Offer,LinkedIn,6943,15774,5956.0,412
Summer Sale,Google,12618,23225,4370.0,637
Winter Offer,LinkedIn,12037,22738,4087.0,463
Festive Blast,Instagram,12785,21674,6191.0,768
Summer Sale,Instagram,5291,9435,7054.0,606
Festive Blast,Google,13870,32437,8967.0,185
Summer Sale,Instagram,4062,12070,4278.0,286
Festive Blast,Facebook,5289,8522,5220.0,681
Summer Sale,Google,12085,23862,9618.0,313
Festive Blast,Instagram,4527,14480,6225.0,535
Summer Sale,Facebook,15589,37505,1343.0,717
Festive Blast,Instagram,17041,22856,567.0,587
Festive Blast,Instagram,17755,39933,9108.0,81
Summer Sale,Google,18326,28336,9364.0,753
Mega Discount,Google,8388,25226,6454.0,200
Mega Discount,Instagram,7626,19378,1007.0,785
Winter Offer,Instagram,15334,25087,570.0,297
Mega Discount,Facebook,3748,25717,,562
Summer Sale,Facebook,4421,24177,3462.0,275
Mega Discount,Instagram,19541,34607,4967.0,512
Mega Discount,Facebook,14504,20992,5537.0,190
Mega Discount,Google,8976,15959,2658.0,562
Festive Blast,Instagram,3836,8553,8292.0,613
Mega Discount,LinkedIn,2192,25989,7827.0,588
Festive Blast,Google,14892,32760,8185.0,591
Mega Discount,Instagram,6804,21095,3440.0,319
Summer Sale,Instagram,18759,39289,2917.0,248
New Launch,Google,16220,23481,4935.0,685
Mega Discount,LinkedIn,4145,27670,,63
Festive Blast,LinkedIn,2593,19913,5450.0,618
Mega Discount,LinkedIn,10810,24918,8431.0,458
Summer Sale,Google,3800,8512,2645.0,712
New Launch,Google,12889,17547,2561.0,378
Mega Discount,Facebook,12937,36698,2408.0,118
Winter Offer,Facebook,19706,40095,3928.0,698
Summer Sale,Google,8953,17275,1229.0,212
Festive Blast,Instagram,14381,29327,5810.0,519
New Launch,Instagram,4364,24752,3760.0,135
New Launch,Google,12004,33529,1895.0,528
Festive Blast,LinkedIn,7532,19954,5666.0,392
Mega Discount,Facebook,10279,24556,3151.0,629
Winter Offer,LinkedIn,10639,26846,4346.0,631
Mega Discount,LinkedIn,10989,18043,6392.0,572
New Launch,Instagram,19692,41102,3634.0,57
Summer Sale,Facebook,19220,29692,868.0,148
Mega Discount,Google,4874,26548,5801.0,347
Winter Offer,LinkedIn,6033,11381,9357.0,160
Summer Sale,Facebook,17558,25758,6330.0,280
New Launch,Google,7932,29876,965.0,391
New Launch,Facebook,10179,15252,1002.0,190
Festive Blast,Instagram,17035,37202,7753.0,550
New Launch,LinkedIn,19152,38757,7686.0,275
Mega Discount,Facebook,13716,20561,5443.0,630
Winter Offer,LinkedIn,15611,26498,2925.0,81
Summer Sale,Facebook,9796,13924,9790.0,771
Winter Offer,Instagram,4336,15096,8947.0,627
Summer Sale,LinkedIn,4086,25076,7320.0,260
Summer Sale,LinkedIn,18666,26204,7822.0,66
Summer Sale,Google,9881,34169,7762.0,124
Festive Blast,Google,13410,27347,7885.0,569
Summer Sale,Instagram,2734,13474,8617.0,686
New Launch,LinkedIn,9239,13328,8882.0,314
Winter Offer,Google,7995,15898,6983.0,241
Mega Discount,Facebook,17072,28158,6387.0,107
Winter Offer,Instagram,6503,14056,2102.0,295
Winter Offer,Instagram,12624,27856,7677.0,742
Festive Blast,LinkedIn,9361,23480,8811.0,474
New Launch,Instagram,5730,26311,4428.0,731
Summer Sale,LinkedIn,15330,24015,4033.0,241
Festive Blast,Facebook,6981,30592,1999.0,685
Festive Blast,Facebook,2659,15155,917.0,470
Festive Blast,LinkedIn,13266,30898,8445.0,703
Mega Discount,Facebook,4277,28619,2762.0,677
Winter Offer,Google,8159,21479,5622.0,741
New Launch,LinkedIn,4874,25675,5349.0,602
Summer Sale,Instagram,10035,30943,5938.0,574
Summer Sale,LinkedIn,3050,27134,9188.0,137
Winter Offer,Instagram,14794,37080,3345.0,705
New Launch,Instagram,5269,23720,9554.0,501
Winter Offer,Google,3366,13203,8163.0,408
New Launch,Google,16237,33965,,318
Festive Blast,Instagram,9609,27607,4681.0,551
Festive Blast,Instagram,5195,20898,8780.0,189
Festive Blast,LinkedIn,8587,11822,1976.0,769
Mega Discount,Instagram,10967,28389,8240.0,163
New Launch,Google,17558,22213,7494.0,713
Summer Sale,Instagram,10035,30943,5938.0,574
Winter Offer,LinkedIn,19658,36837,6811.0,514
Festive Blast,LinkedIn,8995,25233,2446.0,701
New Launch,Google,12889,17547,2561.0,378
